eventId,deviceId,timestamp,latency_norm,packetLoss_norm,signalStrength_norm,overall_quality,hour_of_day,day_of_week,anomalous
69f1caec89e1f4ca8501382b,device-01,2026-04-29T09:10:04.625Z,0.4040,0.4500,0.3500,0.5987,16,3,1
69f1caec89e1f4ca8501382f,device-02,2026-04-29T09:10:04.752Z,0.2560,0.0000,0.9000,0.6147,16,3,0
69f1caec89e1f4ca85013833,device-03,2026-04-29T09:10:04.862Z,0.1200,0.0000,0.7625,0.7058,16,3,0
69f1caec89e1f4ca85013837,device-04,2026-04-29T09:10:04.972Z,0.1480,0.0000,0.9250,0.6423,16,3,0
69f1caed89e1f4ca8501383b,device-05,2026-04-29T09:10:05.086Z,0.1040,0.0500,0.7875,0.6862,16,3,0
69f1caed89e1f4ca8501383f,device-06,2026-04-29T09:10:05.198Z,0.1380,0.0500,0.9000,0.6373,16,3,0
69f1caed89e1f4ca85013843,device-07,2026-04-29T09:10:05.307Z,0.2560,0.0000,0.8000,0.6480,16,3,0
69f1caed89e1f4ca85013847,device-08,2026-04-29T09:10:05.417Z,0.1560,0.1000,0.8875,0.6188,16,3,0
69f1caed89e1f4ca8501384b,device-09,2026-04-29T09:10:05.527Z,0.3080,0.0500,0.8750,0.5890,16,3,0
69f1caed89e1f4ca8501384f,device-10,2026-04-29T09:10:05.638Z,0.9600,0.8500,0.3500,0.2800,16,3,1
69f1caf189e1f4ca85013853,device-01,2026-04-29T09:10:09.592Z,0.1780,0.0000,0.9875,0.6115,16,3,0
69f1caf189e1f4ca85013857,device-02,2026-04-29T09:10:09.703Z,0.2920,0.0500,0.8125,0.6152,16,3,0
69f1caf189e1f4ca8501385b,device-03,2026-04-29T09:10:09.817Z,0.0560,0.0500,0.7625,0.7105,16,3,0
69f1caf189e1f4ca8501385f,device-04,2026-04-29T09:10:09.928Z,0.8780,0.5000,0.3000,0.4407,16,3,1
69f1caf289e1f4ca85013863,device-05,2026-04-29T09:10:10.036Z,0.1840,0.0000,0.9000,0.6387,16,3,0
69f1caf289e1f4ca85013867,device-06,2026-04-29T09:10:10.144Z,0.0860,0.0500,0.9250,0.6463,16,3,0
69f1caf289e1f4ca8501386b,device-07,2026-04-29T09:10:10.251Z,0.1840,0.0000,0.9500,0.6220,16,3,0
69f1caf289e1f4ca8501386f,device-08,2026-04-29T09:10:10.358Z,0.0420,0.0000,0.9500,0.6693,16,3,0
69f1caf289e1f4ca85013873,device-09,2026-04-29T09:10:10.465Z,0.1600,0.0000,0.8875,0.6508,16,3,0
69f1caf289e1f4ca85013877,device-10,2026-04-29T09:10:10.572Z,0.2100,0.0500,0.9125,0.6092,16,3,0
69f1caf689e1f4ca8501387b,device-01,2026-04-29T09:10:14.594Z,0.1960,0.0000,0.9500,0.6180,16,3,0
